,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity,date
141,luzhou,28.89,105.45,295.6,1.12,100,96,1562821225
142,rimouski,48.45,-68.52,284.15,3.1,5,81,1562821225
143,hami,42.84,93.51,308.7,3.8,69,13,1562821225
144,kropotkin,45.43,40.58,294.3,2.76,98,68,1562821226
145,saint-pierre,48.95,4.24,289.15,1.0,0,72,1562821226
146,airai,-8.93,125.41,301.9,1.42,91,48,1562821226
147,longyearbyen,78.22,15.63,280.15,1.0,75,87,1562821227
148,ormara,25.21,64.64,304.4,4.45,98,57,1562821227
149,port-cartier,50.03,-66.88,285.37,2.1,20,66,1562821228
150,boende,-0.28,20.88,295.0,1.66,81,94,1562821228
151,pitimbu,-7.47,-34.81,296.15,2.6,40,100,1562821228
152,rochefort,50.16,5.22,291.15,2.1,100,72,1562821228
153,yaan,7.38,8.57,295.5,2.49,100,93,1562821229
154,jawhar,19.91,73.23,300.7,5.71,100,82,1562821229
155,santa rosalia,38.07,13.27,300.93,2.6,20,83,1562821229
156,dingle,11.0,122.67,304.3,2.05,16,60,1562821230
157,pavilosta,56.89,21.19,288.15,0.5,84,93,1562821230
158,karpathos,35.51,27.21,300.15,1.5,0,57,1562821230
159,mar del plata,-46.43,-67.52,278.1,2.71,41,84,1562821056
160,pangnirtung,66.15,-65.72,285.9,0.68,66,64,1562821231
161,auki,12.18,6.51,295.8,6.69,40,86,1562821037
162,saint paul,44.95,-93.1,295.15,5.1,40,78,1562821231
163,ostersund,63.18,14.64,283.15,3.6,72,71,1562821094
164,natal,-5.81,-35.21,296.15,3.1,40,88,1562821232
165,celano,42.09,13.54,292.04,3.1,51,88,1562821232
166,vila franca do campo,37.72,-25.43,292.15,3.6,20,93,1562821233
167,nushki,29.55,66.02,310.4,5.53,0,22,1562821233
168,rio grande,-32.03,-52.1,284.15,1.4,0,100,1562821209
169,tuktoyaktuk,69.44,-133.03,277.15,6.7,90,100,1562821234
170,narimanov,46.69,47.85,299.15,2.0,0,54,1562821234
171,kalmunai,7.42,81.82,308.6,1.87,85,38,1562821234
172,palmer,-34.85,139.16,288.71,5.1,75,82,1562821235
173,samarai,-10.62,150.67,296.3,4.4,98,79,1562821235
174,am timan,11.04,20.28,294.8,6.1,100,92,1562821083
175,quatre cocos,-20.21,57.76,296.48,2.6,40,88,1562821236
176,coquimbo,-29.95,-71.34,282.15,0.5,20,100,1562821236
